### 直接加载测试（角色专属材质）
    合计: 可加载=82  加载失败=0

===== 张知远_可动
    C_hair_short.004 | C_hair_short.004 | hair_mat_hair_short.004 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_arms_lower | M_body_arms_lower | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_arms_upper | M_body_arms_upper | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_feet | M_body_feet | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_hands | M_body_hands | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_legs_knee | M_body_legs_knee | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_legs_lower | M_body_legs_lower | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_legs_upper | M_body_legs_upper | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_shoulders | M_body_shoulders | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_torso | M_body_torso | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    M_body_torso.001 | M_body_torso.001 | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_M_head.002_mesh | M_head.002_mesh | skin_mat_base_M_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_M_head.002_mesh | M_head.002_mesh | skin_mat_base_M_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_M_head.002_mesh | M_head.002_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_M_head.002_mesh | M_head.002_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_M_head.002_mesh | M_head.002_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
